"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4"
"animals_z","0.777930693710353","-0.0161789250977963","-0.47","-0.74 to -0.21","0.0006865489","0.0054923914835044","-0.55","-0.89 to -0.21","0.0021316111","0.0170528887998245","-0.06","-0.11 to 0","0.0440467126","0.35237370117556"," 0.00","0 to 0","0.2045157724",">.99"," 0.06","-0.19 to 0.31","0.6586275673",">.99"
"phonemic_fluency_z","0.769360742822352","0.00197980222932327","-0.30","-0.55 to -0.04","0.025831530","0.206652238642711","-0.30","-0.63 to 0.02","0.073030674","0.584245392201417","-0.08","-0.13 to -0.03","0.001098042","0.00878433572546888"," 0.00","0 to 0","0.017994421","0.14395536699672"," 0.09","-0.15 to 0.33","0.476072230",">.99"
"hvlt_trials_total_z","0.769906984137988","-0.00661456977672035","-0.14","-0.42 to 0.14","0.3444783259",">.99","-0.34","-0.69 to 0.02","0.0700973363","0.560778690066414","-0.13","-0.19 to -0.07","0.0000227773","0.000182218371188221"," 0.00","0 to 0","0.5000184256",">.99"," 0.11","-0.15 to 0.37","0.3979722649",">.99"
"hvlt_trial4_correct_z","0.848392148395442","-0.00841168676809753","-0.11","-0.45 to 0.23","0.53107648",">.99","-0.41","-0.85 to 0.02","0.06729544","0.538363524875348","-0.11","-0.19 to -0.03","0.00874625","0.0699700016200965"," 0.00","0 to 0","0.97966028",">.99"," 0.25","-0.07 to 0.56","0.13646554",">.99"
"jolo_total_correct_corrected_z","1.28636970905592","-0.0272049286026028","-0.60","-1.1 to -0.11","0.01890318","0.151225440089053","-0.61","-1.25 to 0.02","0.06429350","0.514347995688644","-0.07","-0.19 to 0.04","0.22500333",">.99"," 0.00","0 to 0","0.45299185",">.99"," 0.19","-0.27 to 0.66","0.42778218",">.99"
"wais_digit_symbol_score_z","0.774171455244756","-0.0119719956971169","-0.33","-0.58 to -0.07","1.437258e-02","0.114980675002313","-0.51","-0.84 to -0.18","2.912109e-03","0.0232968740353987","-0.14","-0.19 to -0.09","6.476153e-08","5.18092208374015e-07"," 0.00","0 to 0","2.595842e-01",">.99"," 0.13","-0.11 to 0.37","3.017684e-01",">.99"
"lnst_total_z","0.669083406927333","-0.00458753955979165","-0.19","-0.43 to 0.05","0.1228796885","0.983037507836022","-0.52","-0.83 to -0.22","0.0010071107","0.00805688593977567","-0.09","-0.14 to -0.04","0.0003647318","0.00291785459169916"," 0.00","0 to 0","0.5275645771",">.99"," 0.07","-0.15 to 0.29","0.5590203092",">.99"
"trails_ba_seconds_z","0.814314836489768","0.016425178871303"," 0.27","-0.03 to 0.57","8.048616e-02","0.643889319154469"," 1.06","0.68 to 1.44","2.233527e-07","1.78682122047625e-06"," 0.08","0.01 to 0.15","1.917693e-02","0.153415413124573"," 0.00","0 to 0","5.796711e-01",">.99","-0.19","-0.47 to 0.09","2.030741e-01",">.99"
"1","Intercept","agevisit Coef.","APOE_E4","APOE_E4","APOE_E4","APOE_E4","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","gds_total","gds_total","gds_total","gds_total","led","led","led","led","MAPT1","MAPT1","MAPT1","MAPT1"
