"","agevisit Est.","Random Intercept Std.","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc"
"animals_z","-0.0240861271103322","0.830500794293703","-0.42","-0.64 to -0.2","0.0002215483","0.00177238604819781"," 0.03","-0.12 to 0.19","0.6679653068",">.99","-0.23","-0.4 to -0.07","0.0049850800","0.0398806402836849"," 0.00","0 to 0","0.2569973111",">.99","-0.05","-0.08 to -0.02","0.0014255100","0.0114040798532663"
"phonemic_fluency_z","0.00271270647930412","0.793913027907214","-0.16","-0.36 to 0.04","1.159663e-01","0.927730095502139"," 0.03","-0.11 to 0.17","6.504828e-01",">.99","-0.15","-0.29 to 0","5.161956e-02","0.412956504240529"," 0.00","0 to 0","8.833429e-04","0.0070667433397716","-0.05","-0.08 to -0.03","1.380065e-05","0.000110405233532738"
"hvlt_trials_total_z","-0.00374449621515455","0.840011027150433","-0.51","-0.74 to -0.28","2.152432e-05","0.000172194571122222"," 0.12","-0.04 to 0.27","1.545466e-01",">.99","-0.06","-0.23 to 0.1","4.641679e-01",">.99"," 0.00","0 to 0","8.133560e-01",">.99","-0.08","-0.11 to -0.04","2.739659e-06","2.19172683190359e-05"
"hvlt_trial4_correct_z","-0.00452060277203074","0.962947985533972","-0.39","-0.68 to -0.09","0.01195131","0.0956104813608679"," 0.14","-0.06 to 0.34","0.17114470",">.99"," 0.00","-0.21 to 0.22","0.98602657",">.99"," 0.00","0 to 0","0.22944473",">.99","-0.06","-0.1 to -0.01","0.01579930","0.126394407342155"
"jolo_total_correct_corrected_z","-0.0287677790252814","1.41878685240395","-0.83","-1.25 to -0.41","0.0001120128","0.000896102728924243"," 0.25","-0.03 to 0.54","0.0832481500","0.66598519994651","-0.34","-0.64 to -0.04","0.0268985946","0.215188756466419"," 0.00","0 to 0","0.1791836751",">.99","-0.05","-0.12 to 0.01","0.0868872510","0.695098008276706"
"wais_digit_symbol_score_z","-0.00838809411946089","0.846606019239569","-0.49","-0.7 to -0.28","9.399173e-06","7.51933856805188e-05"," 0.03","-0.12 to 0.18","6.736042e-01",">.99","-0.17","-0.33 to -0.01","3.727264e-02","0.298181153008923"," 0.00","0 to 0","3.472096e-01",">.99","-0.08","-0.1 to -0.05","6.987170e-09","5.58973567059531e-08"
"lnst_total_z","-0.00644317703782179","0.721588847581403","-0.43","-0.63 to -0.23","2.851867e-05","0.000228149331963427"," 0.11","-0.02 to 0.25","1.063323e-01","0.850658729056607","-0.05","-0.19 to 0.1","5.056221e-01",">.99"," 0.00","0 to 0","9.898179e-01",">.99","-0.07","-0.1 to -0.05","8.113851e-08","6.49108057849428e-07"
"trails_ba_seconds_z","0.011537416922826","1.04890426327389"," 0.95","0.67 to 1.23","5.335260e-11","4.26820793910337e-10","-0.19","-0.38 to 0","5.431727e-02","0.434538136575481"," 0.10","-0.11 to 0.3","3.614866e-01",">.99"," 0.00","0 to 0","9.771475e-01",">.99"," 0.09","0.06 to 0.13","1.934106e-06","1.54728467376835e-05"
"1","agevisit Coef.","Intercept","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","APOE_E4","APOE_E4","APOE_E4","APOE_E4","led","led","led","led","gds_total","gds_total","gds_total","gds_total"
